position genes direction pattern_name
upstream None,Csn2,Csn2,Cas2,Cas1 -,+,+,+,+ Cas1,Cas2,Csn2,Csn2,NoneR,Cas9
upstream None,Csn2,Cas2,Cas1 -,+,+,+ Cas1,Cas2,Csn2,NoneR,Cas9
upstream None,None,Csn2,Cas2,Cas1 -,-,+,+,+ Cas1,Cas2,Csn2,NoneR,NoneR,Cas9
upstream None,Csn2,Cas2 -,+,+ Cas2,Csn2,NoneR,Cas9
upstream Csn2,Csn2,Cas2,Cas1 +,+,+,+ Cas1,Cas2,Csn2,Csn2,Cas9
upstream Csn2,Cas2,None,Cas1 +,+,+,+ Cas1,None,Cas2,Csn2,Cas9
upstream Csn2,Cas2,Cas1 +,+,+ Cas1,Cas2,Csn2,Cas9
upstream Csn2,Cas1 +,+ Cas1,Csn2,Cas9
upstream Csn2,Cas2 +,+ Cas2,Csn2,Cas9
upstream Cas9,Cas1,Cas2,Csn2 -,-,-,- Csn2R,Cas2R,Cas1R,Cas9R,Cas9
upstream Cas1,Cas2 -,- Cas2R,Cas1R,Cas9
upstream Cas1 + Cas1,Cas9
downstream phage_antirepressor,phage_antirepressor,Cas1,Cas2 +,+,+,+ Cas9,Par,Cas1,Cas2
downstream phage_antirepressor,None,Cas1,Cas1,Cas2 +,+,+,+,+ Cas9,Par,None,Cas1,Cas1,Cas2
downstream phage_antirepressor,None,Cas1,Cas2 +,+,+,+ Cas9,Par,None,Cas1,Cas2
downstream phage_antirepressor,Cas1,Cas2 +,+,+ Cas9,Par,Cas1,Cas2
downstream phage_antirepressor,Cas1,Cas1,Cas2 +,+,+,+ Cas9,Par,Cas1,Cas1,Cas2
downstream phage_antirepressor,Cas1 +,+ Cas9,Par,Cas1
downstream RuvC_III,Cas1,Cas2 +,+,+ Cas9,Cas1,Cas2
downstream RhuM,RhuM,RhuM,Cas1,Cas2 +,+,+,+,+ Cas9,RhuM,Cas1,Cas2
downstream RhuM,RhuM,Cas1,Cas2 +,+,+,+ Cas9,RhuM,Cas1,Cas2
downstream RhuM,Cas1,Cas2 +,+,+ Cas9,RhuM,Cas1,Cas2
downstream RhuM,Cas1,Cas1,Cas2 +,+,+,+ Cas9,RhuM,Cas1,Cas1,Cas2
downstream RhuM,Cas1 +,+ Cas9,RhuM,Cas1
downstream None,phage_antirepressor,Cas1,Cas2 +,+,+,+ Cas9,None,Par,Cas1,Cas2
downstream None,phage_antirepressor,phage_antirepressor,Cas1,Cas2 +,+,+,+,+ Cas9,None,Par,Par,Cas1,Cas2
